// -----------------------------------------------------------------------------
// HYPER-BYTE TOPOLOGY EXPORT
// -----------------------------------------------------------------------------
// Generated by: docs/ontology-claim.js (deterministic, no timestamp)
// Geometry:  16x16 Matrix (0..255) mapped to 4 Attractor Basins.
// Hierarchy: ROOT(4) -> DOMAIN(12) -> SECTION(48) -> LEAF(192)
// Logic:     Parent = ((Child << 1) & 0xF0) | ((Child >> 1) & 0x0F)
// -----------------------------------------------------------------------------
hex,classes,hierarchy,symmetry,inverse,opposite,reverse,parent,depth,distance,ones,entropy,bin,value
// [QUADRANT 1/4] ROOT: 0x00 (RESERVED|INIT|TWIN|MIRROR)
0x33,AFTER|TWIN,LEAF,BALANCED|MARGIN,0xCC,0x33,0xCC,0x69,3,4,4,1,00110011,51
0xB2,AFTER,LEAF,BALANCED|MARGIN,0x4D,0x2B,0x4D,0x69,3,2,4,1,10110010,178
0xB3,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x4C,0x3B,0xCD,0x69,3,3,5,0.954434,10110011,179
// Section 3.2.3:
0xE8,AFTER,SECTION,BALANCED|MARGIN,0x17,0x8E,0x17,0xD4,2,2,4,1,11101000,232
0x70,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x8F,0x07,0x0E,0xE8,3,5,3,0.954434,01110000,112
0x71,AFTER,LEAF,BALANCED|MARGIN,0x8E,0x17,0x8E,0xE8,3,6,4,1,01110001,113
0xF0,AFTER|SHADOW,LEAF,BALANCED|ANTICODE,0x0F,0x0F,0x0F,0xE8,3,4,4,1,11110000,240
0xF1,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x0E,0x1F,0x8F,0xE8,3,5,5,0.954434,11110001,241
// Section 3.2.4:
0xE9,AFTER,SECTION,UNBALANCED|ASYMMETRY,0x16,0x9E,0x97,0xD4,2,3,5,0.954434,11101001,233
0x72,AFTER,LEAF,BALANCED|MARGIN,0x8D,0x27,0x4E,0xE9,3,4,4,1,01110010,114
0x73,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x8C,0x37,0xCE,0xE9,3,5,5,0.954434,01110011,115
0xF2,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x0D,0x2F,0x4F,0xE9,3,3,5,0.954434,11110010,242
0xF3,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x0C,0x3F,0xCF,0xE9,3,4,6,0.81127812,11110011,243
// Domain 3.3:
0xD5,AFTER,DOMAIN,UNBALANCED|ASYMMETRY,0x2A,0x5D,0xAB,0xAA,1,7,5,0.954434,11010101,213
// Section 3.3.1:
0x6A,AFTER,SECTION,BALANCED|MARGIN,0x95,0xA6,0x56,0xD5,2,2,4,1,01101010,106
0x34,AFTER,LEAF,UNBALANCED|ASYMMETRY,0xCB,0x43,0x2C,0x6A,3,5,3,0.954434,00110100,52
0x35,AFTER,LEAF,BALANCED|MARGIN,0xCA,0x53,0xAC,0x6A,3,6,4,1,00110101,53
0xB4,AFTER|SHADOW,LEAF,BALANCED|ANTICODE,0x4B,0x4B,0x2D,0x6A,3,4,4,1,10110100,180
0xB5,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x4A,0x5B,0xAD,0x6A,3,5,5,0.954434,10110101,181
// Section 3.3.2:
0x6B,AFTER,SECTION,UNBALANCED|ASYMMETRY,0x94,0xB6,0xD6,0xD5,2,3,5,0.954434,01101011,107
0x36,AFTER,LEAF,BALANCED|MARGIN,0xC9,0x63,0x6C,0x6B,3,4,4,1,00110110,54
0x37,AFTER,LEAF,UNBALANCED|ASYMMETRY,0xC8,0x73,0xEC,0x6B,3,5,5,0.954434,00110111,55
